average_entry,exit_price,total_qty,pnl,position,exit_idx
122750.0,124008.7,2.0,0.10254175152749467,1,281554
118058.16666666667,119661.2,24.0,1.6294001967956393,1,353091
119835.1,123226.7,2.0,0.28302225307943923,1,354524
122523.29999999999,123813.2,4.0,0.21055586978150423,1,356555
123898.5,125140.0,2.0,0.10020298873674822,1,356694
112123.05925925926,110441.6,54.0,-4.049068969392279,1,364892
113921.5,115120.2,2.0,0.10522157801644089,1,367801
109516.59166666667,110961.0,24.0,1.5826734320545408,1,378540
109081.0,111806.6,8.0,0.9994774525352741,1,380339
109517.3125,110863.0,16.0,0.982995268442147,1,383405
110468.4,112326.9,4.0,0.3364763135883203,1,387213
112412.6,114777.0,2.0,0.21033229371084683,1,387960
104942.09545454544,106925.5,44.0,4.157997780680891,1,409760
93982.1125,91255.7,64.0,-9.283170773587386,1,432911
91331.7,92568.3,2.0,0.13539658190967713,1,435029
87968.30833333333,90174.6,24.0,3.009663423295347,1,440843
90452.8,91450.2,2.0,0.11026745440715977,1,440987
91500.0,92520.0,2.0,0.11147540983606558,1,441521
92178.70000000001,93193.7,4.0,0.22022441193030176,1,442241
92317.1,93337.2,2.0,0.1104995715853283,1,442701
90310.1125,91384.2,16.0,0.9514659833913897,1,448238
91187.25,93369.7,4.0,0.47867437607779534,1,450973
92867.45,93892.5,4.0,0.2207554961399291,1,452654
92144.92499999999,93211.5,8.0,0.4629989117686131,1,454171
88348.42499999999,89486.1,24.0,1.5452567490592175,1,469244
87785.725,89054.6,8.0,0.5781691727214191,1,474630
88562.4,90031.0,4.0,0.3316531620642633,1,479125
88427.875,89613.0,8.0,0.536086612959997,1,485183
89327.25,90240.8,4.0,0.20454004796968517,1,485558
90210.45,91126.6,4.0,0.2031139407906753,1,487456
91222.3,92786.1,2.0,0.1714273812434024,1,489003
93040.1,94079.9,2.0,0.11175826337245857,1,490069
90930.65,92199.9,16.0,1.116675180480949,1,499168
91640.5,91415.7,4.0,-0.04906127749193925,1,500099
